"Študenti visokošolskega študija na univerzah in samostojnih"
"visokošolskih zavodih po: VISOKOŠOLSKI ZAVOD, VRSTA IZOBRAŽEVANJA,"
"LETNIK, NAÈIN ŠTUDIJA , ŠTUDIJSKO LETO"

" ";" ";" ";" ";"2004/05";"2005/06";"2006/07";"2007/08";"2008/09";"2009/10";"2010/11";"2011/12";"2012/13";"2013/14";"2014/15";"2015/16";"2016/17";"2017/18"
"Visokošolski zavodi - SKUPAJ"
" ";"Vrsta izobraževanja - SKUPAJ"
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"6. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Absolventi"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;211;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;211;-;-;-;-;-;-;-;-
" ";"Doktorsko (prejšnje)"
" ";" ";"Letniki - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";847;876;1027;1112;1213;1155;960;597;174;7;-;-;-;-
" ";" ";" ";"Redni";307;281;302;257;246;239;199;123;14;-;-;-;-;-
" ";" ";" ";"Izredni";540;595;725;855;967;916;761;474;160;7;-;-;-;-
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";123;25;66;42;76;8;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";60;-;21;11;19;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";63;25;45;31;57;8;-;-;-;-;-;-;-;-
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";85;41;32;71;41;55;1;-;-;-;-;-;-;-
" ";" ";" ";"Redni";49;-;12;25;10;10;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";36;41;20;46;31;45;1;-;-;-;-;-;-;-
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";441;451;597;527;656;570;538;5;-;-;-;-;-;-
" ";" ";" ";"Redni";115;173;160;105;123;123;105;2;-;-;-;-;-;-
" ";" ";" ";"Izredni";326;278;437;422;533;447;433;3;-;-;-;-;-;-
" ";" ";"4. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";198;359;332;472;440;500;421;592;12;-;-;-;-;-
" ";" ";" ";"Redni";83;108;109;116;94;106;94;121;4;-;-;-;-;-
" ";" ";" ";"Izredni";115;251;223;356;346;394;327;471;8;-;-;-;-;-
" ";" ";"5. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"6. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Absolventi"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;22;-;-;162;7;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;10;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;22;-;-;152;7;-;-;-;-
" ";"Doktorsko (3. bolonjska stopnja)"
" ";" ";"Letniki - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";-;45;99;326;539;1949;2695;3103;3074;2681;2231;1926;2084;2301
" ";" ";" ";"Redni";-;-;16;12;23;291;521;563;583;566;471;426;402;427
" ";" ";" ";"Izredni";-;45;83;314;516;1658;2174;2540;2491;2115;1760;1500;1682;1874
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;28;52;234;288;1510;1330;1105;793;567;564;578;759;825
" ";" ";" ";"Redni";-;-;9;8;17;253;268;212;160;127;131;129;115;120
" ";" ";" ";"Izredni";-;28;43;226;271;1257;1062;893;633;440;433;449;644;705
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;15;38;69;204;323;1147;1142;996;734;501;508;624;715
" ";" ";" ";"Redni";-;-;7;3;3;34;229;199;176;138;103;112;123;113
" ";" ";" ";"Izredni";-;15;31;66;201;289;918;943;820;596;398;396;501;602
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;1;8;23;47;114;214;809;888;823;658;415;402;470
" ";" ";" ";"Redni";-;-;-;1;3;4;24;144;158;160;124;90;96;119
" ";" ";" ";"Izredni";-;1;8;22;44;110;190;665;730;663;534;325;306;351
" ";" ";"4. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;1;1;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;1;1;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"5. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"6. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Absolventi"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;2;4;47;397;557;508;425;299;291
" ";" ";" ";"Redni";-;-;-;-;-;-;-;8;89;141;113;95;68;75
" ";" ";" ";"Izredni";-;-;-;-;-;2;4;39;308;416;395;330;231;216
"Samostojni visokošolski zavodi"
" ";"Vrsta izobraževanja - SKUPAJ"
" ";" ";"Letniki - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";3689;5002;5316;6497;7266;9198;9922;10151;10539;9157;8179;8100;8596;8770
" ";" ";" ";"Redni";1246;1544;1196;1959;2624;3806;4241;4400;4412;3922;3585;3205;2985;2928
" ";" ";" ";"Izredni";2443;3458;4120;4538;4642;5392;5681;5751;6127;5235;4594;4895;5611;5842
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";1203;1597;1652;2318;2948;3498;3450;3000;3246;2791;2756;2876;3187;3185
" ";" ";" ";"Redni";435;555;395;1044;1424;1743;1614;1486;1542;1420;1302;1188;1147;1082
" ";" ";" ";"Izredni";768;1042;1257;1274;1524;1755;1836;1514;1704;1371;1454;1688;2040;2103
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";1329;2027;1895;1954;2266;3315;3514;3426;2944;2584;2234;2288;2484;2696
" ";" ";" ";"Redni";301;430;330;333;646;1248;1414;1266;1090;965;882;853;841;791
" ";" ";" ";"Izredni";1028;1597;1565;1621;1620;2067;2100;2160;1854;1619;1352;1435;1643;1905
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";765;987;1297;1466;1325;1780;2161;2440;2602;1905;1713;1758;1850;1791
" ";" ";" ";"Redni";215;232;234;300;248;450;755;789;720;604;595;551;519;542
" ";" ";" ";"Izredni";550;755;1063;1166;1077;1330;1406;1651;1882;1301;1118;1207;1331;1249
" ";" ";"4. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";44;57;32;31;51;37;37;48;15;5;12;14;19;15
" ";" ";" ";"Redni";28;56;31;31;47;37;37;48;-;-;-;-;-;-
" ";" ";" ";"Izredni";16;1;1;-;4;-;-;-;15;5;12;14;19;15
" ";" ";"5. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"6. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Absolventi"
" ";" ";" ";"Naèin študija - SKUPAJ";348;334;440;728;676;568;760;1237;1732;1872;1464;1164;1056;1083
" ";" ";" ";"Redni";267;271;206;251;259;328;421;811;1060;933;806;613;478;513
" ";" ";" ";"Izredni";81;63;234;477;417;240;339;426;672;939;658;551;578;570
" ";"Visokošolsko strokovno (prejšnje)"
" ";" ";"Letniki - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";2420;3404;3193;2320;1175;173;34;2;-;-;-;-;-;-
" ";" ";" ";"Redni";944;1123;925;499;305;60;6;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";1476;2281;2268;1821;870;113;28;2;-;-;-;-;-;-
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";696;900;664;1;18;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";274;359;258;1;11;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";422;541;406;-;7;-;-;-;-;-;-;-;-;-
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";642;1235;994;561;13;-;5;-;-;-;-;-;-;-
" ";" ";" ";"Redni";231;314;256;66;4;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";411;921;738;495;9;-;5;-;-;-;-;-;-;-
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";725;935;1089;1093;589;17;7;-;-;-;-;-;-;-
" ";" ";" ";"Redni";176;180;200;186;67;1;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";549;755;889;907;522;16;7;-;-;-;-;-;-;-
" ";" ";"4. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";13;12;6;-;10;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;11;5;-;6;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";13;1;1;-;4;-;-;-;-;-;-;-;-;-
" ";" ";"5. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"6. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Absolventi"
" ";" ";" ";"Naèin študija - SKUPAJ";344;322;440;665;545;156;22;2;-;-;-;-;-;-
" ";" ";" ";"Redni";263;259;206;246;217;59;6;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";81;63;234;419;328;97;16;2;-;-;-;-;-;-
" ";"Visokošolsko strokovno (1. bolonjska stopnja)"
" ";" ";"Letniki - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";-;239;736;2436;4077;6106;6691;6971;7152;6222;5523;5566;5867;5914
" ";" ";" ";"Redni";-;-;40;621;1183;1977;2090;2344;2359;2155;1917;1727;1606;1508
" ";" ";" ";"Izredni";-;239;696;1815;2894;4129;4601;4627;4793;4067;3606;3839;4261;4406
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;135;391;1354;1905;2261;2195;1901;2069;1807;1796;1868;2050;2094
" ";" ";" ";"Redni";-;-;33;398;771;948;752;786;858;805;717;623;603;540
" ";" ";" ";"Izredni";-;135;358;956;1134;1313;1443;1115;1211;1002;1079;1245;1447;1554
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;104;175;737;1522;2041;2246;2266;1822;1622;1454;1496;1611;1715
" ";" ";" ";"Redni";-;-;7;163;279;562;653;582;509;475;437;427;415;391
" ";" ";" ";"Izredni";-;104;168;574;1243;1479;1593;1684;1313;1147;1017;1069;1196;1324
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;170;284;581;1534;1807;2064;2253;1608;1422;1505;1552;1488
" ";" ";" ";"Redni";-;-;-;56;101;292;473;534;480;421;400;395;374;357
" ";" ";" ";"Izredni";-;-;170;228;480;1242;1334;1530;1773;1187;1022;1110;1178;1131
" ";" ";"4. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;15;5;12;14;19;15
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;15;5;12;14;19;15
" ";" ";"5. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"6. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Absolventi"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;61;69;270;443;740;993;1180;839;683;635;602
" ";" ";" ";"Redni";-;-;-;4;32;175;212;442;512;454;363;282;214;220
" ";" ";" ";"Izredni";-;-;-;57;37;95;231;298;481;726;476;401;421;382
" ";"Visokošolsko univerzitetno (1. bolonjska stopnja)"
" ";" ";"Letniki - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;142;398;655;796;1047;1049;1036;816;690;620;620;563
" ";" ";" ";"Redni";-;-;60;255;441;595;836;837;772;612;510;410;392;381
" ";" ";" ";"Izredni";-;-;82;143;214;201;211;212;264;204;180;210;228;182
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;104;245;325;354;365;323;292;220;196;236;212;180
" ";" ";" ";"Redni";-;-;43;195;250;270;293;248;201;166;145;154;131;133
" ";" ";" ";"Izredni";-;-;61;50;75;84;72;75;91;54;51;82;81;47
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;31;106;185;256;324;271;294;218;197;174;179;167
" ";" ";" ";"Redni";-;-;14;45;141;193;245;221;195;155;130;104;126;89
" ";" ";" ";"Izredni";-;-;17;61;44;63;79;50;99;63;67;70;53;78
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;7;45;115;155;255;271;209;199;169;141;157;182
" ";" ";" ";"Redni";-;-;3;14;40;118;229;209;181;136;130;95;91;129
" ";" ";" ";"Izredni";-;-;4;31;75;37;26;62;28;63;39;46;66;53
" ";" ";"4. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"5. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"6. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Absolventi"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;2;30;31;103;184;241;179;128;69;72;34
" ";" ";" ";"Redni";-;-;-;1;10;14;69;159;195;155;105;57;44;30
" ";" ";" ";"Izredni";-;-;-;1;20;17;34;25;46;24;23;12;28;4
" ";"Visokošolsko univerzitetno (prejšnje)"
" ";" ";"Letniki - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";153;198;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";153;198;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";91;95;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";91;95;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";21;49;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";21;49;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";25;20;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";25;20;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"4. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";12;22;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";12;22;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"5. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"6. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Absolventi"
" ";" ";" ";"Naèin študija - SKUPAJ";4;12;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";4;12;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko"
" ";" ";"Letniki - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"4. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"5. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"6. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Absolventi"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji"
" ";" ";"Letniki - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";-;175;363;938;1079;1599;1761;1731;1995;1792;1553;1509;1635;1770
" ";" ";" ";"Redni";-;-;-;386;489;884;1096;1011;1112;1003;922;830;801;792
" ";" ";" ";"Izredni";-;175;363;552;590;715;665;720;883;789;631;679;834;978
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;130;225;606;582;792;779;680;790;655;643;664;727;758
" ";" ";" ";"Redni";-;-;-;386;320;471;498;402;425;393;383;354;346;337
" ";" ";" ";"Izredni";-;130;225;220;262;321;281;278;365;262;260;310;381;421
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;45;138;332;465;700;793;748;727;648;481;499;577;636
" ";" ";" ";"Redni";-;-;-;-;169;337;465;399;338;290;257;258;240;238
" ";" ";" ";"Izredni";-;45;138;332;296;363;328;349;389;358;224;241;337;398
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"4. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"5. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"6. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Absolventi"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;32;107;189;303;478;489;429;346;331;376
" ";" ";" ";"Redni";-;-;-;-;-;76;133;210;349;320;282;218;215;217
" ";" ";" ";"Izredni";-;-;-;-;32;31;56;93;129;169;147;128;116;159
" ";"Specialistièno"
" ";" ";"Letniki - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";35;15;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";35;15;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";35;15;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";35;15;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"4. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"5. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"6. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Absolventi"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";"Magistrsko (prejšnje)"
" ";" ";"Letniki - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";964;835;758;261;38;219;59;-;-;-;-;-;-;-
" ";" ";" ";"Redni";88;88;48;54;38;108;2;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";876;747;710;207;-;111;57;-;-;-;-;-;-;-
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";307;267;239;77;23;4;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";46;46;32;29;23;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";261;221;207;48;-;4;-;-;-;-;-;-;-;-
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";656;568;519;184;15;213;58;-;-;-;-;-;-;-
" ";" ";" ";"Redni";42;42;16;25;15;106;1;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";614;526;503;159;-;107;57;-;-;-;-;-;-;-
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
