"Študenti visokošolskega študija na univerzah in samostojnih"
"visokošolskih zavodih po: VISOKOŠOLSKI ZAVOD, VRSTA IZOBRAŽEVANJA,"
"LETNIK, NAÈIN ŠTUDIJA , ŠTUDIJSKO LETO"

" ";" ";" ";" ";"2004/05";"2005/06";"2006/07";"2007/08";"2008/09";"2009/10";"2010/11";"2011/12";"2012/13";"2013/14";"2014/15";"2015/16";"2016/17";"2017/18"
"Visokošolski zavodi - SKUPAJ"
" ";"Vrsta izobraževanja - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";-;3486;6592;11200;15592;22748;24517;25374;25798;23914;21748;20378;19962;19331
" ";" ";" ";"Redni";-;1394;3326;6176;8947;14090;15772;16834;17481;16700;15479;14017;13182;12600
" ";" ";" ";"Izredni";-;2092;3266;5024;6645;8658;8745;8540;8317;7214;6269;6361;6780;6731
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;3235;4495;6791;8088;11919;10497;9845;9519;8849;8058;7692;7647;7357
" ";" ";" ";"Redni";-;1351;2346;3995;5175;8665;7745;7546;7314;6832;6189;5587;5319;5057
" ";" ";" ";"Izredni";-;1884;2149;2796;2913;3254;2752;2299;2205;2017;1869;2105;2328;2300
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;104;1629;2894;4383;5215;7156;6731;6144;5694;5310;5045;4944;5108
" ";" ";" ";"Redni";-;-;870;1338;2074;2530;4269;4053;3941;3800;3517;3362;3103;3118
" ";" ";" ";"Izredni";-;104;759;1556;2309;2685;2887;2678;2203;1894;1793;1683;1841;1990
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;131;309;1291;2209;3806;4345;5791;5874;4891;4714;4759;4855;4545
" ";" ";" ";"Redni";-;36;62;756;1034;1782;2157;3181;3191;2958;3070;2959;2995;2724
" ";" ";" ";"Izredni";-;95;247;535;1175;2024;2188;2610;2683;1933;1644;1800;1860;1821
" ";" ";"4. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;15;5;12;14;19;15
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;15;5;12;14;19;15
" ";" ";"5. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"6. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Absolventi"
" ";" ";" ";"Naèin študija - SKUPAJ";-;16;159;224;912;1808;2519;3007;4246;4475;3654;2868;2497;2306
" ";" ";" ";"Redni";-;7;48;87;664;1113;1601;2054;3035;3110;2703;2109;1765;1701
" ";" ";" ";"Izredni";-;9;111;137;248;695;918;953;1211;1365;951;759;732;605
" ";"Visokošolsko univerzitetno (1. bolonjska stopnja)"
" ";" ";"Letniki - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";-;3610;6871;11023;15435;24006;27626;29859;30565;29060;27144;24913;24162;22509
" ";" ";" ";"Redni";-;2124;5125;9127;13324;21565;25410;27731;28536;27320;25677;23632;22700;21609
" ";" ";" ";"Izredni";-;1486;1746;1896;2111;2441;2216;2128;2029;1740;1467;1281;1462;900
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;2991;4112;6102;7302;12746;11940;11799;11189;10233;9458;9024;8916;8204
" ";" ";" ";"Redni";-;2095;3222;5218;6379;11547;11053;10947;10424;9600;8947;8532;8419;7924
" ";" ";" ";"Izredni";-;896;890;884;923;1199;887;852;765;633;511;492;497;280
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;2266;2843;3926;5176;8256;8111;7874;7121;6712;6108;5898;5859
" ";" ";" ";"Redni";-;-;1789;2312;3480;4711;7648;7609;7371;6716;6405;5864;5616;5605
" ";" ";" ";"Izredni";-;-;477;531;446;465;608;502;503;405;307;244;282;254
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;154;209;1916;2627;3564;4176;6565;6641;6347;6033;5890;5851;5381
" ";" ";" ";"Redni";-;17;88;1573;2151;3200;3861;6140;6243;5973;5707;5619;5368;5115
" ";" ";" ";"Izredni";-;137;121;343;476;364;315;425;398;374;326;271;483;266
" ";" ";"4. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;629;661;537;468;1213;1336;1367;1299;1215;1096
" ";" ";" ";"Redni";-;-;-;-;538;558;459;425;1131;1248;1316;1142;1129;1042
" ";" ";" ";"Izredni";-;-;-;-;91;103;78;43;82;88;51;157;86;54
" ";" ";"5. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"6. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Absolventi"
" ";" ";" ";"Naèin študija - SKUPAJ";-;465;284;162;951;1859;2717;2916;3648;4023;3574;2592;2282;1969
" ";" ";" ";"Redni";-;12;26;24;776;1549;2389;2610;3367;3783;3302;2475;2168;1923
" ";" ";" ";"Izredni";-;453;258;138;175;310;328;306;281;240;272;117;114;46
" ";"Visokošolsko univerzitetno (prejšnje)"
" ";" ";"Letniki - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";49994;48286;45552;41402;36239;25251;17943;12468;7620;2686;498;38;-;-
" ";" ";" ";"Redni";44105;43058;41348;37782;32956;23098;16237;11398;6982;2443;491;38;-;-
" ";" ";" ";"Izredni";5889;5228;4204;3620;3283;2153;1706;1070;638;243;7;-;-;-
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";14185;11322;10174;8030;5909;116;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";12216;10348;9376;7357;5388;93;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";1969;974;798;673;521;23;-;-;-;-;-;-;-;-
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";8636;9417;7512;6838;5464;4042;44;3;-;-;-;-;-;-
" ";" ";" ";"Redni";7963;8628;6843;6364;5064;3594;5;2;-;-;-;-;-;-
" ";" ";" ";"Izredni";673;789;669;474;400;448;39;1;-;-;-;-;-;-
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";8449;8202;8634;7093;6269;4935;4169;57;-;-;-;-;-;-
" ";" ";" ";"Redni";7507;7337;7678;6334;5629;4517;3667;2;-;-;-;-;-;-
" ";" ";" ";"Izredni";942;865;956;759;640;418;502;55;-;-;-;-;-;-
" ";" ";"4. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";7796;8273;7945;8471;6958;6070;4870;4631;103;-;-;-;-;-
" ";" ";" ";"Redni";6537;6708;6943;7415;6040;5400;4395;4026;1;-;-;-;-;-
" ";" ";" ";"Izredni";1259;1565;1002;1056;918;670;475;605;102;-;-;-;-;-
" ";" ";"5. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";953;1042;1056;1140;1103;1174;1412;1051;555;-;-;-;-;-
" ";" ";" ";"Redni";923;1006;1037;1125;1089;1158;1401;1042;550;-;-;-;-;-
" ";" ";" ";"Izredni";30;36;19;15;14;16;11;9;5;-;-;-;-;-
" ";" ";"6. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";198;195;207;198;260;294;305;345;332;362;1;-;-;-
" ";" ";" ";"Redni";198;195;207;198;260;294;305;345;332;362;1;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Absolventi"
" ";" ";" ";"Naèin študija - SKUPAJ";9777;9835;10024;9632;10276;8620;7143;6381;6630;2324;497;38;-;-
" ";" ";" ";"Redni";8761;8836;9264;8989;9486;8042;6464;5981;6099;2081;490;38;-;-
" ";" ";" ";"Izredni";1016;999;760;643;790;578;679;400;531;243;7;-;-;-
" ";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko"
" ";" ";"Letniki - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;221;759;1688;2474;3211;3854;4399;4704;4794;4770;4687
" ";" ";" ";"Redni";-;-;-;163;640;1565;2380;3094;3749;4312;4628;4756;4724;4612
" ";" ";" ";"Izredni";-;-;-;58;119;123;94;117;105;87;76;38;46;75
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;221;524;1045;974;1008;975;876;814;832;852;828
" ";" ";" ";"Redni";-;-;-;163;458;976;940;950;916;834;787;820;831;812
" ";" ";" ";"Izredni";-;-;-;58;66;69;34;58;59;42;27;12;21;16
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;182;442;875;797;825;790;756;683;694;723
" ";" ";" ";"Redni";-;-;-;-;182;442;873;793;824;787;751;681;694;722
" ";" ";" ";"Izredni";-;-;-;-;-;-;2;4;1;3;5;2;-;1
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;147;415;841;773;824;761;692;680;650
" ";" ";" ";"Redni";-;-;-;-;-;147;415;839;771;824;760;688;678;649
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;2;2;-;1;4;2;1
" ";" ";"4. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;152;404;789;772;812;741;669;657
" ";" ";" ";"Redni";-;-;-;-;-;-;152;404;788;771;810;740;666;651
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;1;1;2;1;3;6
" ";" ";"5. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;53;54;58;161;385;756;716;773;739;698
" ";" ";" ";"Redni";-;-;-;-;-;-;-;108;343;715;675;755;721;662
" ";" ";" ";"Izredni";-;-;-;-;53;54;58;53;42;41;41;18;18;36
" ";" ";"6. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;37;390;401;490;401
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;37;390;401;490;401
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Absolventi"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;107;344;455;672;646;730
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;107;344;455;671;644;715
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;1;2;15
" ";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji"
" ";" ";"Letniki - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";-;1108;2107;2909;3391;6752;9236;11868;14566;16398;17392;17181;17094;16830
" ";" ";" ";"Redni";-;46;301;848;1540;4289;6848;9618;12390;14383;15727;15624;15368;14884
" ";" ";" ";"Izredni";-;1062;1806;2061;1851;2463;2388;2250;2176;2015;1665;1557;1726;1946
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;1047;1324;1815;1975;4173;4774;5757;7020;7358;7451;7478;7340;7131
" ";" ";" ";"Redni";-;46;185;677;1106;3089;3893;4997;6242;6640;6785;6835;6579;6263
" ";" ";" ";"Izredni";-;1001;1139;1138;869;1084;881;760;778;718;666;643;761;868
" ";" ";"2. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;61;783;1094;1345;2021;3072;3617;4079;5009;4818;4657;4791;4760
" ";" ";" ";"Redni";-;-;116;171;408;963;2025;2721;3237;4245;4258;4148;4156;4066
" ";" ";" ";"Izredni";-;61;667;923;937;1058;1047;896;842;764;560;509;635;694
" ";" ";"3. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"4. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"5. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"6. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";-;-;-;-;-;-;-;-;-;-;-;-;-;-
" ";" ";"Absolventi"
" ";" ";" ";"Naèin študija - SKUPAJ";-;-;-;-;71;558;1390;2494;3467;4031;5123;5046;4963;4939
" ";" ";" ";"Redni";-;-;-;-;26;237;930;1900;2911;3498;4684;4641;4633;4555
" ";" ";" ";"Izredni";-;-;-;-;45;321;460;594;556;533;439;405;330;384
" ";"Specialistièno"
" ";" ";"Letniki - SKUPAJ"
" ";" ";" ";"Naèin študija - SKUPAJ";1249;706;695;495;485;169;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";78;50;44;65;74;43;-;-;-;-;-;-;-;-
" ";" ";" ";"Izredni";1171;656;651;430;411;126;-;-;-;-;-;-;-;-
" ";" ";"1. letnik"
" ";" ";" ";"Naèin študija - SKUPAJ";1025;525;632;428;439;-;-;-;-;-;-;-;-;-
" ";" ";" ";"Redni";40;33;25;43;44;-;-;-;-;-;-;-;-;-
