source_x,title,doi,license,abstract,publish_time,journal,url,volume,issue,start_page,end_page,id
DP FAMNIT,"Wiener index of iterated line graphs of trees homeomorphic to the claw <em>K</em><sub>1,3</sub>",10.26493/1855-3974.250.d49,CC BY 4.0,"Let G be a graph. Denote by Li(G) its i-iterated line graph and denote by W(G) its Wiener index. Dobrynin, Entringer and Gutman stated the following problem: Does there exist a non-trivial tree T and i ≥ 3 such that W(Li(T)) = W(T)? In a series of five papers we solve this problem. In a previous paper we proved that W(Li(T)) > W(T) for every tree T that is not homeomorphic to a path, claw K1,3 and to the graph of ""letter H"", where i ≥ 3. Here we prove that W(Li(T)) > W(T) for every tree T homeomorphic to the claw, T ≠ K1,3 and i ≥ 4.",2012-04-20,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/250,6,2,211,219,126
DP FAMNIT,On regular and equivelar Leonardo polyhedra,10.26493/1855-3974.219.440,CC BY 4.0,"A Leonardo polyhedron is a 2-manifold without boundary, embedded in Euclidean 3-space E3, built up of convex polygons and with the geometric symmetry (or rotation) group of a Platonic solid and of genus g ≥ 2. The polyhedra are named in honour of Leonardo's famous illustrations in [1] (cf. also [2]). Only six combinatorially regular Leonardo polyhedra are known: Coxeter's four regular skew polyhedra, and the polyhedral realizations of the regular maps by Klein of genus 3 and by Fricke and Klein of genus 5. In this paper we construct infinite series of equivelar (i.e. locally regular) Leonardo polyhedra, which share some properties with the regular ones, namely the same Schläfli symbols and related topological structure. So the weaker condition of local regularity allows a much greater variety of symmetric polyhedra.

[1] L. Pacioli, De Divina Proportione (Disegni di Leonardo da Vinci 1500-1503), Faksimile Dominiani, Como, 1967. 
[2] D. Huylebrouk, Lost in triangulation: Leonardo da Vinci's mathematical slip-up, Scientific American, March 29, 2011.",2012-04-20,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/219,6,1,1,11,127
DP FAMNIT,PhD Fellowship at the University of Primorska,NA,CC BY 4.0,NA,2012-04-22,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/326,5,1,NA,NA,128
DP FAMNIT,2012 Graph Theory Semester,NA,CC BY 4.0,NA,2012-04-22,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/324,5,1,NA,NA,129
DP FAMNIT,Symmetries of Graphs and Networks (SYGN III),NA,CC BY 4.0,NA,2012-04-22,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/325,5,1,NA,NA,130
DP FAMNIT,Computers in Scientific Discovery 6 (CSD6),NA,CC BY 4.0,NA,2012-04-22,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/323,5,1,NA,NA,131
DP FAMNIT,The next step,NA,CC BY 4.0,NA,2012-04-22,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/327,5,1,NA,NA,132
DP FAMNIT,Line graphs and geodesic transitivity,10.26493/1855-3974.248.aae,CC BY 4.0,"For a graph Γ, a positive integer s and a subgroup G ≤ Aut(Γ), we prove that G is transitive on the set of s-arcs of Γ if and only if Γ has girth at least 2(s − 1) and G is transitive on the set of (s − 1)-geodesics of its line graph. As applications, we first classify 2-geodesic transitive graphs of valency 4 and girth 3, and determine which of them are geodesic transitive. Secondly we prove that the only non-complete locally cyclic 2-geodesic transitive graphs are the octahedron and the icosahedron.",2012-04-26,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/248,6,1,13,20,133
DP FAMNIT,Johnson graphs are Hamilton-connected,10.26493/1855-3974.291.574,CC BY 4.0,We prove that the Johnson graphs are Hamilton-connected and apply this to obtain that another family of graphs is Hamilton-connected.,2012-04-26,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/291,6,1,21,23,134
DP FAMNIT,Nonorientable regular maps over linear fractional groups,10.26493/1855-3974.251.044,CC BY 4.0,"It is well known that for any given hyperbolic pair (k, m) there exist infinitely many regular maps of valence k and face length m on an orientable surface, with automorphism group isomorphic to a linear fractional group. A nonorientable analogue of this result was known to be true for all pairs (k, m) as above with at least one even entry. In this paper we establish the existence of such regular maps on nonorientable surfaces for all hyperbolic pairs.",2012-04-26,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/251,6,1,25,35,135
DP FAMNIT,Embeddings of cubic Halin graphs: Genus distributions,10.26493/1855-3974.217.440,CC BY 4.0,"We derive an O(n2)-time algorithm for calculating the genus distribution of a given 3-regular Halin graph G; that is, we calculate the sequence of numbers g0(G), g1(G), g2(G), … on the respective orientable surfaces S0, S1, S2, …. Key topological features are a quadrangular decomposition of plane Halin graphs and a new recombinant-strands reassembly process that fits pieces together three-at-a-vertex. Key algorithmic features are reassembly along a post-order traversal, with just-in-time dynamic assignment of roots for quadrangular pieces encountered along the tour.",2012-04-28,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/217,6,1,37,56,136
DP FAMNIT,Markov chain algorithms for generating sets uniformly at random,10.26493/1855-3974.286.93a,CC BY 4.0,"In this paper we tackle the problem of generating uniformly at random two representative types of sets with n elements: transitive sets and weakly transitive sets, that is, transitive sets with atoms. A set is said to be transitive if any of its elements is also a subset of it; a set is weakly transitive if any of its elements, unless disjoint from it, is also a subset of it. We interpret such sets as (weakly) extensional acyclic digraphs—that is, acyclic digraphs whose (non-sink) vertices have pairwise different out-neighborhoods—and employ a Markov chain technique already given for acyclic digraphs. We thus propose Markov chain-based algorithms for generating uniformly at random (weakly) extensional acyclic digraphs with a given number of vertices. The Markov chain is then refined to generate such digraphs which are also simply connected, and digraphs in which the number of arcs is fixed.",2012-04-28,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/286,6,1,57,68,137
DP FAMNIT,Complex parametrization of triangulations on oriented maps,10.26493/1855-3974.240.170,CC BY 4.0,"We consider here triangulations of oriented maps having a specified set S of vertices of degree different from 6 and some other vertices of degree 6. Such map can be described by specifying the relative positions between elements of S using Eisenstein integers. We first consider the case of 1 parameter, which corresponds to the Goldberg-Coxeter construction. Then we develop the general theory, the special case of positive curvature studied by Thurston and finally extend the theory to quadrangulations and some other cases. In the last section we expose application of parameterizations to the study of zigzags.",2012-04-28,ARS MATHEMATICA CONTEMPORANEA,https://amc-journal.eu/index.php/amc/article/view/240,6,1,69,81,138
